question,answer,q_len,q_bin,gen_naive_k1_all-MiniLM-L6-v2,gen_cot_k1_all-MiniLM-L6-v2,gen_persona_k1_all-MiniLM-L6-v2,gen_naive_k3_all-MiniLM-L6-v2,gen_cot_k3_all-MiniLM-L6-v2,gen_persona_k3_all-MiniLM-L6-v2,gen_naive_k5_all-MiniLM-L6-v2,gen_cot_k5_all-MiniLM-L6-v2,gen_persona_k5_all-MiniLM-L6-v2,gen_naive_k1_all-mpnet-base-v2,gen_cot_k1_all-mpnet-base-v2,gen_persona_k1_all-mpnet-base-v2,gen_naive_k3_all-mpnet-base-v2,gen_cot_k3_all-mpnet-base-v2,gen_persona_k3_all-mpnet-base-v2,gen_naive_k5_all-mpnet-base-v2,gen_cot_k5_all-mpnet-base-v2,gen_persona_k5_all-mpnet-base-v2,contexts
Are Canada 's two official languages English and French ?,yes,10,long,Canada's two official languages are English and French,Canada's two official languages are English and French. Final Answer: Yes.,Canada's two official languages are English and French.,Canada's two official languages are English and French.,"Canada's two official languages are English and French. Final Answer: English and French have equal status in federal courts, Parliament, and in all federal institutions.",Canada's two official languages are English and French.,Canada's two official languages are English and French.,"Canada's two official languages are English and French. Final Answer: English and French have equal status in federal courts, Parliament, and in all federal institutions.",Canada's two official languages are English and French.,"Manitoba, Ontario and Quebec allow for both English and French to be spoken in the provincial legislatures, and laws are enacted in both languages.","Manitoba, Ontario and Quebec allow for both English and French to be spoken in the provincial legislatures, and laws are enacted in both languages.","Both English and French are used as a language of instruction, in courts, and other government services in addition to English.","English and French Official Language Communities, defined by First Official Language Spoken, constitute 73.0% and 23.6% of the population.","The Charter of the French Language in Quebec makes French the official language in Quebec, and New Brunswick is the only province to have a statement of official bilingualism in the constitution. Final Answer: English.","English and French are the mother tongues of 59.7% and 23.2% of the population respectively, and the languages most spoken at home by 68.3% and 22.3% of the population respectively.",Canada's two official languages are English and French.,Canada's two official languages are English and French.,Canada's two official languages are English and French.,"{'passage': ""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories."", 'id': 2358}"
Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,Yes,19,long,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister. The final answer: yes.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister. The answer: yes.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister. The answer: yes.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister. The final answer: yes.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister. The answer: yes.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister. The answer: yes.,Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.,"{'passage': ""Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.  The president is elected by popular vote, and resides at Cotroceni Palace. Since the constitutional amendment of 2003, the president's term is five years (previously it was four).  The Romanian Government, which is based at Victoria Palace, is headed by a prime minister, who appoints the other members of his or her cabinet and who is nearly always the head of the party or coalition that holds a majority in the parliament. If, however, none of the parties hold 50% + 1 of the total seats in parliament, the president will appoint the prime minister. Before beginning its term, the government is subject to a parliamentary vote of approval."", 'id': 3140}"
What field did Woodrow Wilson leave law practice to study?,history and political science,10,long,history and political science,History and political science.,history and political science,history and political science,History and political science.,history and political science,history and political science,History and political science.,history and political science,history and political science,History and political science.,history and political science,history and political science,History and political science.,history and political science,history and political science,History and political science.,History and political science,"{'passage': 'In January 1882, Wilson decided to start his first law practice in Atlanta. One of Wilsonâ\x80\x99s University of Virginia classmates, Edward Ireland Renick, invited Wilson to join his new law practice as partner.  Wilson joined him there in May 1882.  He passed the Georgia Bar. On October 19,1882 he appeared in court before Judge George Hillyer to take his examination for the bar, which he passed with flying colors and he began work on his thesis Congressional Government in the United States.  Competition was fierce in the city with 143 other lawyers, so with few cases to keep him occupied, Wilson quickly grew disillusioned. Moreover, Wilson had studied law in order to eventually enter politics, but he discovered that he could not continue his study of government and simultaneously continue the reading of law necessary to stay proficient. In April 1883, Wilson applied to the new Johns Hopkins University to study for a Ph.D. in history and political science, which he completed in 1886.     He is the only president to date to have earned a Ph.D. In July 1883, Wilson left his law practice to begin his academic studies.   Mulder, John H. Woodrow Wilson: The Years of Preparation. (Princeton, 1978) 71-72.  .', 'id': 2135}"
"What have become flippers, useless for flight in the air?",Penguins' wings,10,long,diving ducks,Dabbling ducks.,Dabbling ducks,Penguins,Penguins.,Penguins,Penguins,Penguins.,Penguins,Waimanu,Waimanu.,Waimanu,wings,Their wings.,Their wings.,wings,Their wings.,wings,"{'passage': 'Diving ducks and sea ducks forage deep underwater. To be able to submerge more easily, the diving ducks are heavier than dabbling ducks, and therefore have more difficulty taking off to fly.', 'id': 3168}"
Is Fillmore the first of two presidents to have been an indentured servant ?,yes,14,long,Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.,Fillmore was the first of two presidents to have been an indentured servant. The final answer: yes.,Fillmore was the first of two presidents to have been an indentured servant.,Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.,Fillmore was the first of two presidents to have been an indentured servant. The final answer: yes.,Fillmore was the first of two presidents to have been an indentured servant.,Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.,"Fillmore was born three weeks after George Washington's death on December 14, 1799. The final answer: yes.",Fillmore was the first of two presidents to have been an indentured servant.,Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.,Fillmore was the first of two presidents to have been an indentured servant. The final answer: yes.,Fillmore was the first of two presidents to have been an indentured servant.,Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.,Fillmore was the first of two presidents to have been an indentured servant. The final answer: yes.,Fillmore is the first of two presidents to have been an indentured servant.,Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.,Fillmore was the first of two presidents to have been an indentured servant. The final answer: yes.,Fillmore is the first of two presidents to have been an indentured servant.,"{'passage': '*Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.', 'id': 200}"
"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",yes,26,long,"kangaroos have large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head","The sentence is true because kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head. The final answer: yes.","They have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head.","kangaroos have large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head","Kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head. The final answer: yes.","kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head.","kangaroos have large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head","Kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head.","kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head.","kangaroos have large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head","The sentence is true because kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head. The final answer: yes.","They have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head.","kangaroos have large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head","The kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head. The final answer: yes.","kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head.","kangaroos have large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head","Kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head.","kangaroos have large, powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head.","{'passage': 'Kangaroos have large, powerful hind legs, large feet adapted for leaping, a long muscular tail for balance, and a small head. Like all marsupials, female kangaroos have a pouch called a marsupium in which joeys complete postnatal development.', 'id': 1737}"
Has this inspired genetic researchers to begin examining the turtle genome for longevity genes ?,yes,15,long,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,This has inspired genetic researchers to begin examining the turtle genome for longevity genes.,"{'passage': 'Researchers have recently discovered a turtleâ\x80\x99s organs do not gradually break down or become less efficient over time, unlike most other animals. It was found that the liver, lungs and kidneys of a centenarian turtle are virtually indistinguishable from those of its immature counterpart. This has inspired genetic researchers to begin examining the turtle genome for longevity genes.  All but Ageless, Turtles Face Their Biggest Threat: Humans', 'id': 2690}"
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days,16,long,six days,Six days.,six days,six days,Six days.,six days,six days,Six days.,six days,six days,Six days.,six days,six days,Six days.,six days,six days,Six days.,six days,"{'passage': 'During World War II, the Imperial Japanese Army invaded Malaya, culminating in the Battle of Singapore. The ill-prepared British were defeated in six days, and surrendered the supposedly impregnable ""Bastion of the Empire"" to General Tomoyuki Yamashita on 15 February 1942 in what is now known as the British Empire\'s greatest military defeat. The Japanese renamed Singapore  , from Japanese  , or ""southern island obtained in the age of ShÅ\x8dwa"", and occupied it until the British repossessed the island on September 12 1945, a month after the Japanese surrender.', 'id': 2712}"
How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body",10,long,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","Their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body. Final Answer: their hardened, often darkened head.","hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","Their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body. Final Answer: their hardened, often darkened head.","hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","Their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body. The answer: their hardened, often darkened head , the presence of chewing mouthparts , and spiracles along the sides of the body.","hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","Their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body. Final Answer: their hardened, often darkened head.","hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","Their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body. The answer: their hardened, often darkened head , the presence of chewing mouthparts , and spiracles along the sides of the body.","hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","Their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body.","hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","{'passage': 'Beetle larvae can be differentiated from other insect larvae by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body. Like adult beetles, the larvae are varied in appearance, particularly between beetle families. Beetles whose larvae are somewhat flattened and are highly mobile are the ground beetles, some rove beetles, and others; their larvae are described as campodeiform. Some beetle larvae resemble hardened worms with dark head capsules and minute legs. These are elateriform larvae, and are found in the click beetle (Elateridae) and darkling beetle (Tenebrionidae) families. Some elateriform larvae of click beetles are known as wireworms. Beetles in the families of the Scarabaeoidea have short, thick larvae described as scarabaeiform, but more commonly known as grubs.', 'id': 2397}"
Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks,10,long,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks.,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks.,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks.,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks.,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks.,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks,Captain James Cook and naturalist Sir Joseph Banks.,Captain James Cook and naturalist Sir Joseph Banks,"{'passage': 'A common myth about the kangaroo\'s English name is that it came from the Aboriginal words for ""I don\'t understand you."" According to this legend, Captain James Cook and naturalist Sir Joseph Banks were exploring Australia when they happened upon the animal. They asked a nearby local what the creatures were called. The local responded ""Kangaroo"", meaning ""I don\'t understand you"", which Cook took to be the name of the creature.  Tour lecture,  , Dawsonville, GA. ', 'id': 1726}"
What resembles that of the similarly-sized cougar in the Americas?,The leopard's ecological role,10,long,The leopard,The leopard consumes virtually any animal it can catch and ranges from rainforest to desert. Its ecological role resembles that of the similarly-sized cougar in the Americas. The final answer: The leopard.,The leopard,The leopard,The leopard consumes virtually any animal it can catch and ranges from rainforest to desert. The leopard's ecological role resembles that of the similarly-sized cougar in the Americas. The answer: The leopard.,The leopard consumes virtually any animal it can catch,The leopard consumes virtually any animal it can catch,The leopard consumes virtually any animal it can catch and ranges from rainforest to desert. The leopard's ecological role resembles that of the similarly-sized cougar in the Americas. The answer: The leopard.,The leopard consumes virtually any animal it can catch.,coyote,"The gray wolf is usually hostile toward the big cats and will kill cougar kittens if given the opportunity. The wolf's relation to adult cougars is more complex. A pack often takes advantage of cougars, stealing kills and sometimes killing mature adults.",Coyote,coyote,The cougar is another predator encountered by the gray wolf in North America. The answer: the gray wolf.,The cougar is another predator encountered by the gray wolf in North America.,The leopard consumes virtually any animal it can catch,The leopard consumes virtually any animal it can catch and ranges from rainforest to desert. Its ecological role resembles that of the similarly-sized cougar in the Americas.,The leopard consumes virtually any animal it can catch.,"{'passage': ""The species' success owes in part to its opportunistic hunting behaviour and its adaptability to a variety of habitats. The leopard consumes virtually any animal it can catch and ranges from rainforest to desert. Its ecological role resembles that of the similarly-sized cougar in the Americas. Physically, the spotted cat most closely resembles the jaguar, although it is of lighter build."", 'id': 2447}"
Was Abraham Lincoln the first President of the United States?,No,10,long,"Adams was also the first President to reside in the newly built White House in Washington, D.C., which was completed in 1800.","The first President of the United States was Abraham Lincoln. The second President of the United States was John Adams, Jr.. The final answer: no.",No.,was the sixteenth President of the United States,"The relevant sentence in the passage is: Abraham Lincoln (February 12, 1809 âx80x93 April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination. The answer: no.",Abraham Lincoln was the sixteenth President of the United States.,16th,"The relevant sentence in the passage is: Abraham Lincoln (February 12, 1809 âx80x93 April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination. The answer: no.",16th President of the United States,sixteenth,Abraham Lincoln was the sixteenth President of the United States. The answer: no.,Abraham Lincoln was the sixteenth President of the United States.,16th,"The relevant sentence in the passage is: 'Abraham Lincoln (February 12, 1809 âx80x93 April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination.', 'Final Answer: no.",16th,16th,"The relevant sentence in the passage is: 'Abraham Lincoln (February 12, 1809 âx80x93 April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination.', 'id': 319 --- 'passage': 'Abraham Lincoln (February 12, 1809 âx80x93 April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination.', 'id': 319 --- 'passage': 'Abraham Lincoln (February 12, 1809 âx80x93 April 15, 1865) was the sixteenth President of the United States, serving from March 4, 1861 until his assassination.', 'id':",16th,"{'passage': 'John Adams, Jr. (October 30,1735   July 4, 1826)  was the second President of the United States (1797 1801). He also served as America\'s first Vice President (1789 1797). He was defeated for re-election in the ""Revolution of 1800"" by Thomas Jefferson. Adams was also the first President to reside in the newly built White House in Washington, D.C., which was completed in 1800.', 'id': 635}"
He became chief engineer in the Department of Bridges and Highways in what year?,in 1894,14,long,1894,1894.,1894,1894,1894.,1894,1894,1894.,1894,1894,1894.,1894,1894,1894.,1894,1894,1894.,1894,"{'passage': ""In 1892, he became the third in his family to occupy the physics chair at the MusÃ©um National d'Histoire Naturelle. In 1894, he became chief engineer in the Department of Bridges and Highways."", 'id': 830}"
Did he not die at the age of 55 in Le Croisic ?,Yes he died at the age of 55,13,long,No,"No, he died in Le Croisic.",No.,He died at the age of 55 in Le Croisic.,The sentence is true because Becquerel was elected Permanent Secretary of the Acadmie des Sciences. The answer: yes.,He died at the age of 55 in Le Croisic.,"He died in his home ""Heathfield"" in Handsworth, Staffordshire on August 19 1819 at the age of 83.",The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true. The sentence is true because the sentence is true.,"He died in his home ""Heathfield"" in Handsworth, Staffordshire on August 19 1819 at the age of 83.",No,"No, he died in Le Croisic.",No.,"he resigned his appointment as intendant des eaux et fontaines, and retired to a small estate which he possessed at Blois. He was one of the first members of the National Institute; he was appointed inspector of public instruction in 1802 .",The sentence is true because Becquerel was elected Permanent Secretary of the Acadmie des Sciences. The answer: yes.,"He died in Paris, France.",He died at the age of 55 in Le Croisic.,The sentence is true because Becquerel was elected Permanent Secretary of the Acadmie des Sciences. The answer: yes.,He died at the age of 55 in Le Croisic.,"{'passage': 'In 1908, the year of his death, Becquerel was elected Permanent Secretary of the AcadÃ©mie des Sciences. He died at the age of 55 in Le Croisic.', 'id': 835}"
Who did James Monroe live with in New York City?,His daughter Maria Hester Monroe Gouverneur,10,long,Elizabeth Kortright,Elizabeth Kortright.,Elizabeth Kortright,Elizabeth Kortright,Elizabeth Kortright.,Elizabeth Kortright,his daughter Maria Hester Monroe Gouverneur,His daughter Maria Hester Monroe Gouverneur.,his daughter Maria Hester Monroe Gouverneur,Elizabeth Kortright,Elizabeth Kortright.,Elizabeth Kortright,Elizabeth Kortright,Elizabeth Kortright.,Elizabeth Kortright,his daughter Maria Hester Monroe Gouverneur,His daughter Maria Hester Monroe Gouverneur.,his daughter Maria Hester Monroe Gouverneur,"{'passage': 'The Presidentâ\x80\x99s parents, father Spence Monroe (ca. 1727 1774), a woodworker and tobacco farmer, and mother Elizabeth Jones Monroe had significant land holdings but little money. Like his parents, he was a slaveholder. Born in Westmoreland County, Virginia, Monroe went to school at Campbelltown Academy and then the College of William and Mary, both in Virginia.  After graduating from William and Mary in 1776, Monroe fought in the Continental Army, serving with distinction at the Battle of Trenton, where he was shot in his left shoulder. He is depicted holding the flag in the famous painting of Washington Crossing the Delaware. Following his military service, he practiced law in Fredericksburg, Virginia. James Monroe married Elizabeth Kortright on February 16, 1786 at the Trinity Church in New York.', 'id': 2507}"
What carried with it a tacit recognition of Qatar's status as distinct from Bahrain?,The British Protectorate (per Colonel Lewis Pelly) asking to negotiate with a representative from Qatar after Bahrain's violation of the 1820 Anglo-Bahraini Treaty.,14,long,the British Protectorate (per Colonel Lewis Pelly) asked to negotiate with a representative from Qatar,The request.,The request.,the British Protectorate (per Colonel Lewis Pelly) asked to negotiate with a representative from Qatar,The request.,British Protectorate asked to negotiate with a representative from Qatar.,the British Protectorate (per Colonel Lewis Pelly) asked to negotiate with a representative from Qatar,The request to negotiate with a representative from Qatar.,British Protectorate asked to negotiate with a representative from Qatar.,the British Protectorate (per Colonel Lewis Pelly) asked to negotiate with a representative from Qatar,The request.,The request.,the British Protectorate (per Colonel Lewis Pelly) asked to negotiate with a representative from Qatar,The request.,British Protectorate (per Colonel Lewis Pelly) asked to negotiate with a representative from Qatar.,the British Protectorate (per Colonel Lewis Pelly) asked to negotiate with a representative from Qatar,The request to negotiate with a representative from Qatar.,British Protectorate asked to negotiate with a representative from Qatar.,"{'passage': 'Although Qatar had the legal status of a dependency, resentment festered against the Bahraini Al Khalifas along the eastern seaboard of the Qatari peninsula. In 1867, the Al Khalifas launched a successful effort to quash the Qatari rebels sending a massive naval force to Wakrah. However, the Bahraini aggression was in violation on the 1820 Anglo-Bahraini Treaty. The diplomatic response of the British  to this violation set into motion the political forces that would eventuate in the founding of the state of Qatar. In addition to censuring Bahrain for its breach of agreement, the British Protectorate (per Colonel Lewis Pelly) asked to negotiate with a representative from Qatar. The request carried with it a tacit recognition of Qatarâ\x80\x99s status as distinct from Bahrain. The Qataris chose as their negotiator the respected entrepreneur and long-time resident of Doha, Muhammed bin Thani. His clan, the Al Thanis, had taken relatively little part in Gulf politics, but the diplomatic foray ensured their participation in the movement towards independence and their dominion as the future ruling family, a dynasty that continues to this day. The results of the negotiations left Qatar with a new-found sense of political selfhood, although it did not gain official standing as a British protectorate until 1916.', 'id': 2545}"
Is the famous dragon gate at the entrance to the district at the corner of Grant and Bush Street ?,yes,20,long,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street. The final answer: yes.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street. The answer: yes.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street. The answer: yes.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street. The final answer: yes.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street. The answer: yes.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street. The answer: yes.,The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street.,"{'passage': ""*Dupont Street, the main thoroughfare in San Francisco's Chinatown, was renamed Grant Avenue in his honor. The famous dragon gate at the entrance to the district is at the corner of Grant and Bush Street."", 'id': 1856}"
What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur,10,long,Kwa subfamily,Kwa and Gur.,Kwa and Gur,Kwa subfamily,Kwa and Gur.,Kwa and Gur,Kwa subfamily,Kwa and Gur.,Kwa and Gur,Kwa subfamily,Kwa and Gur.,Kwa and Gur,Kwa subfamily,Kwa and Gur.,Kwa and Gur,Kwa subfamily,Kwa and Gur.,Kwa and Gur,"{'passage': ""More than 100 languages and dialects are spoken in Ghana. English is the country's official language and predominates government and business affairs. It is also the standard language used for educational instruction. Native Ghanaian languages are divided into two linguistic subfamilies of the Niger-Congo language family. Languages belonging to the Kwa subfamily are found predominantly to the south of the Volta River, while those belonging to the Gur subfamily are found predominantly to the north. The Kwa group, which is spoken by about 75% of the country's population, includes the Akan, Ga-Dangme, and Ewe languages. The Gur group includes the Gurma, Grusi, and Dagbani languages."", 'id': 1362}"
When did Canada have one of the largest armed forces in the world?,1944.,13,long,"Canada currently employs a professional, volunteer military force of about 64,000 regular and 26,000 reserve personnel","The relevant sentence in the passage is: Canada currently employs a professional, volunteer military force of about 64,000 regular and 26,000 reserve personnel. The answer: currently.",18th century,World War II,The war ended in 1944.,World War II,World War II,The war ended in 1944.,World War II,"Canada currently employs a professional, volunteer military force of about 64,000 regular and 26,000 reserve personnel","The relevant sentence in the passage is: Canada currently employs a professional, volunteer military force of about 64,000 regular and 26,000 reserve personnel. The answer: currently.",18th century,1945,"The relevant sentence in the passage is: Canada currently employs a professional, volunteer military force of about 64,000 regular and 26,000 reserve personnel. The answer: 1945.",1945,1914,"The relevant sentence in the passage is: Canada currently employs a professional, volunteer military force of about 64,000 regular and 26,000 reserve personnel. The answer: 1914.",1914,"{'passage': 'Canada currently employs a professional, volunteer military force of about 64,000 regular and 26,000 reserve personnel.    The unified Canadian Forces (CF) comprise the army, navy, and air force. Major CF equipment deployed includes 1,400 armoured fighting vehicles, 34 combat vessels, and 861 aircraft.', 'id': 2311}"
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes,12,long,yes,Final Answer: yes,Yes.,yes,"The relevant sentence in the passage is: Anders Celsius (November 27, 1701 April 25, 1744) was a Swedish astronomer. The answer: yes.",Yes.,yes,"The relevant sentence in the passage is: Anders Celsius (November 27, 1701 April 25, 1744) was a Swedish astronomer. The answer: yes.",Yes.,yes,Final Answer: yes,Yes.,yes,"The relevant sentence in the passage is: Anders Celsius (November 27, 1701 April 25, 1744) was a Swedish astronomer. The answer: yes.",Yes.,yes,The sentence is true because the information is correct. Final Answer: yes.,Yes.,"{'passage': 'Anders Celsius (November 27, 1701   April 25, 1744) was a Swedish astronomer.', 'id': 141}"
